epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6816,1.61039,7.65509,1.34112,0.43288,0.45253,0.50012,0.2893,1.36855,4.3115,1.21009,0.000546704,0.000546704,0.000546704
2,34.1999,1.42423,4.28473,1.26014,0.85737,0.49303,0.50123,0.26704,1.43643,4.02249,1.31106,0.00108054,0.00108054,0.00108054
3,50.7398,1.42407,4.36078,1.2948,0.57003,0.62126,0.57684,0.29634,1.4326,3.5157,1.37362,0.00159238,0.00159238,0.00159238
4,67.3138,1.5101,5.27361,1.35925,0.91651,0.41515,0.49847,0.22904,1.64077,4.27117,1.48851,0.00156798,0.00156798,0.00156798
5,83.8467,1.49913,4.41175,1.37242,0.63427,0.59474,0.59231,0.31379,1.34156,3.93933,1.28494,0.00153497,0.00153497,0.00153497
6,99.9613,1.4239,3.51563,1.30171,0.71653,0.57879,0.61238,0.32995,1.35679,3.31916,1.32824,0.00150197,0.00150197,0.00150197
7,115.771,1.41296,3.41787,1.27208,0.92873,0.49737,0.61187,0.3139,1.37482,3.14671,1.28651,0.00146896,0.00146896,0.00146896
8,131.585,1.39627,3.28194,1.27255,0.75234,0.55354,0.59259,0.32576,1.3245,2.81734,1.25118,0.00143595,0.00143595,0.00143595
9,147.452,1.38982,3.15868,1.24975,0.68634,0.59338,0.58094,0.32273,1.35856,2.94447,1.27222,0.00140295,0.00140295,0.00140295
10,163.255,1.38759,3.07378,1.28754,0.61586,0.61413,0.63216,0.35072,1.26846,2.72396,1.22358,0.00136994,0.00136994,0.00136994
11,179.123,1.31896,2.90227,1.2082,0.69167,0.63838,0.65209,0.36812,1.24392,2.65369,1.22358,0.00133693,0.00133693,0.00133693
12,195.215,1.28447,2.80725,1.2247,0.67786,0.65863,0.6531,0.35562,1.21479,2.45803,1.18648,0.00130393,0.00130393,0.00130393
13,211.315,1.24764,2.72914,1.18245,0.60558,0.67677,0.6002,0.35774,1.19218,2.47871,1.18366,0.00127092,0.00127092,0.00127092
14,227.853,1.27306,2.82581,1.25138,0.66478,0.64203,0.63128,0.34868,1.25327,2.52052,1.20552,0.00123791,0.00123791,0.00123791
15,244.588,1.26508,2.73842,1.21324,0.78813,0.65758,0.69442,0.40145,1.16432,2.3566,1.1641,0.00120491,0.00120491,0.00120491
16,261.295,1.20529,2.60262,1.1776,0.78535,0.67172,0.71078,0.39153,1.20761,2.36542,1.17318,0.0011719,0.0011719,0.0011719
17,278.093,1.2208,2.52573,1.15863,0.65984,0.69697,0.69309,0.38394,1.25882,2.60131,1.22217,0.00113889,0.00113889,0.00113889
18,294.832,1.19993,2.51922,1.15723,0.78492,0.7101,0.74321,0.4157,1.21853,2.48033,1.2135,0.00110589,0.00110589,0.00110589
19,311.313,1.20114,2.5201,1.16799,0.84694,0.64444,0.72491,0.40929,1.17803,2.33401,1.18134,0.00107288,0.00107288,0.00107288
20,327.449,1.15647,2.42634,1.14141,0.72136,0.70996,0.70402,0.39908,1.15339,2.181,1.15472,0.00103987,0.00103987,0.00103987
21,343.861,1.14471,2.37161,1.16333,0.80694,0.69798,0.74244,0.40439,1.16679,2.22693,1.16154,0.00100687,0.00100687,0.00100687
22,360.42,1.16099,2.39631,1.14207,0.78212,0.67643,0.69923,0.39437,1.14793,2.25736,1.14652,0.000973861,0.000973861,0.000973861
