frame,cam_id,class_id,object_id,u,v,w,h
4,cam_2,0,-1,916.0,1148.0,38,46
4,cam_2,0,-1,901.0,997.5,46,53
5,cam_2,0,-1,2341.5,906.5,19,31
7,cam_2,0,-1,2366.5,894.5,61,33
8,cam_2,0,-1,649.0,1224.0,40,68
8,cam_2,0,-1,2339.0,919.5,10,9
8,cam_2,0,-1,1831.5,866.0,11,10
9,cam_2,0,-1,617.0,1146.5,58,49
10,cam_2,0,-1,2355.5,907.0,37,36
11,cam_2,0,-1,3682.5,2155.0,11,10
11,cam_2,0,-1,618.5,896.0,9,10
11,cam_2,0,-1,3584.5,640.0,31,28
12,cam_2,0,-1,2352.5,909.5,47,39
12,cam_2,0,-1,3585.0,639.5,34,31
13,cam_2,0,-1,3584.0,639.5,30,29
14,cam_2,0,-1,3653.5,1833.5,9,9
14,cam_2,0,-1,3594.5,644.5,11,17
15,cam_2,0,-1,436.5,1240.0,9,10
15,cam_2,0,-1,3587.5,638.0,27,34
16,cam_2,0,-1,3591.5,645.0,15,18
16,cam_2,0,-1,3598.0,628.0,10,10
17,cam_2,0,-1,2602.5,914.0,11,10
17,cam_2,0,-1,2357.5,921.5,49,37
17,cam_2,0,-1,3592.0,630.0,18,18
18,cam_2,0,-1,2344.5,912.5,23,23
19,cam_2,0,-1,2420.5,929.5,13,11
19,cam_2,0,-1,2405.0,923.0,10,10
19,cam_2,0,-1,2357.0,918.0,52,30
20,cam_2,0,-1,2402.5,922.0,11,10
20,cam_2,0,-1,2356.0,914.0,48,32
31,cam_2,0,-1,526.0,1069.0,20,18
31,cam_2,0,-1,2584.5,945.5,11,11
31,cam_2,0,-1,1288.0,4.0,12,8
32,cam_2,0,-1,551.0,1073.0,18,16
32,cam_2,0,-1,1288.0,4.0,12,8
33,cam_2,0,-1,573.0,1074.5,20,25
33,cam_2,0,-1,2583.0,935.0,10,10
34,cam_2,0,-1,2594.0,931.5,12,11
35,cam_2,0,-1,2592.0,931.0,16,12
36,cam_2,0,-1,2595.5,919.0,17,24
36,cam_2,0,-1,3581.0,638.0,46,28
37,cam_2,0,-1,2595.0,923.5,30,35
37,cam_2,0,-1,3581.5,639.0,45,26
38,cam_2,0,-1,2596.5,925.5,33,31
38,cam_2,0,-1,3581.0,638.0,44,26
39,cam_2,0,-1,2596.5,925.5,33,31
39,cam_2,0,-1,3581.0,638.0,44,26
40,cam_2,0,-1,726.0,1129.0,18,22
40,cam_2,0,-1,2595.0,917.0,22,16
40,cam_2,0,-1,3581.0,638.0,44,26
41,cam_2,0,-1,3580.0,637.5,46,25
42,cam_2,0,-1,3079.0,916.5,12,11
42,cam_2,0,-1,3580.5,637.5,45,25
43,cam_2,0,-1,3079.0,916.5,12,11
43,cam_2,0,-1,3580.5,637.5,45,25
44,cam_2,0,-1,760.5,1069.0,21,20
44,cam_2,0,-1,3577.5,637.0,43,24
45,cam_2,0,-1,768.0,1060.0,22,12
45,cam_2,0,-1,3586.0,637.0,26,24
46,cam_2,0,-1,3586.5,637.0,25,24
48,cam_2,0,-1,798.0,1031.0,28,18
49,cam_2,0,-1,814.5,1026.5,21,21
50,cam_2,0,-1,824.0,1020.5,24,25
51,cam_2,0,-1,836.0,1015.5,22,27
51,cam_2,0,-1,2592.0,916.5,22,21
52,cam_2,0,-1,2592.0,915.0,22,18
53,cam_2,0,-1,2453.0,921.5,18,29
53,cam_2,0,-1,2585.0,925.0,48,40
54,cam_2,0,-1,2591.5,914.5,23,19
54,cam_2,0,-1,2452.5,920.5,19,31
55,cam_2,0,-1,2593.0,914.5,10,11
55,cam_2,0,-1,2452.5,919.0,17,30
56,cam_2,0,-1,2450.5,920.5,21,31
57,cam_2,0,-1,2586.5,928.5,51,39
57,cam_2,0,-1,2451.5,921.5,23,35
58,cam_2,0,-1,1562.5,1245.0,19,14
58,cam_2,0,-1,2448.0,928.5,22,29
58,cam_2,0,-1,2586.5,929.0,51,38
59,cam_2,0,-1,2450.5,922.0,17,16
59,cam_2,0,-1,2590.5,929.5,29,37
60,cam_2,0,-1,2453.5,920.5,11,13
60,cam_2,0,-1,2592.0,931.0,32,38
61,cam_2,0,-1,2589.5,931.0,35,38
61,cam_2,0,-1,3584.0,640.5,16,13
62,cam_2,0,-1,2589.5,930.0,35,36
62,cam_2,0,-1,3584.0,640.5,16,13
63,cam_2,0,-1,2592.5,932.5,27,17
63,cam_2,0,-1,3587.5,642.5,23,15
64,cam_2,0,-1,3587.5,642.0,23,16
65,cam_2,0,-1,3587.5,642.0,23,16
66,cam_2,0,-1,3589.0,642.0,26,16
67,cam_2,0,-1,3589.0,642.0,26,16
68,cam_2,0,-1,3589.0,642.5,26,15
69,cam_2,0,-1,3588.5,642.0,25,14
70,cam_2,0,-1,1570.5,1256.0,11,10
70,cam_2,0,-1,3598.0,643.0,16,12
71,cam_2,0,-1,1567.5,1253.5,15,13
71,cam_2,0,-1,3598.0,643.0,16,12
72,cam_2,0,-1,3598.0,643.0,16,12
73,cam_2,0,-1,3591.0,641.5,30,15
92,cam_2,0,-1,1283.5,1074.5,19,17
92,cam_2,0,-1,3098.0,928.0,10,10
92,cam_2,0,-1,2578.0,922.0,58,42
92,cam_2,0,-1,3579.0,635.5,30,23
93,cam_2,0,-1,3091.0,921.5,10,9
93,cam_2,0,-1,3579.0,635.5,30,23
94,cam_2,0,-1,3581.5,635.5,25,23
95,cam_2,0,-1,2584.5,933.0,45,58
95,cam_2,0,-1,3581.5,635.5,25,23
96,cam_2,0,-1,2589.5,933.0,35,58
96,cam_2,0,-1,3581.5,635.5,25,23
96,cam_2,0,-1,3540.0,624.0,14,14
97,cam_2,0,-1,2592.5,923.0,29,38
97,cam_2,0,-1,3581.5,635.5,25,23
98,cam_2,0,-1,2006.0,1297.5,80,43
98,cam_2,0,-1,2590.0,918.5,18,29
98,cam_2,0,-1,3581.5,635.5,25,23
99,cam_2,0,-1,1989.0,1298.0,36,22
99,cam_2,0,-1,2590.0,918.5,18,29
99,cam_2,0,-1,3581.5,635.5,25,23
100,cam_2,0,-1,1985.5,1301.0,39,28
100,cam_2,0,-1,2032.0,1289.5,16,11
100,cam_2,0,-1,2589.0,918.0,16,28
100,cam_2,0,-1,3581.5,635.5,25,23
100,cam_2,0,-1,3537.5,620.5,9,9
101,cam_2,0,-1,2000.0,1298.0,34,22
101,cam_2,0,-1,2032.0,1289.5,16,11
101,cam_2,0,-1,2587.5,916.5,19,31
101,cam_2,0,-1,3581.5,635.5,25,23
101,cam_2,0,-1,3537.5,620.5,9,9
102,cam_2,0,-1,1998.0,1296.5,28,19
102,cam_2,0,-1,2587.5,916.5,19,31
102,cam_2,0,-1,3581.5,635.0,23,22
102,cam_2,0,-1,3537.5,620.5,9,9
103,cam_2,0,-1,1993.0,1296.5,40,21
103,cam_2,0,-1,2591.0,922.0,26,42
103,cam_2,0,-1,3582.0,635.0,24,22
104,cam_2,0,-1,1987.0,1300.5,12,9
104,cam_2,0,-1,2064.5,1282.5,15,13
104,cam_2,0,-1,2590.0,921.5,26,41
104,cam_2,0,-1,3582.0,635.0,24,22
105,cam_2,0,-1,1987.0,1300.5,12,9
105,cam_2,0,-1,2586.0,919.5,24,37
105,cam_2,0,-1,3581.0,635.0,22,22
106,cam_2,0,-1,1987.0,1300.5,12,9
106,cam_2,0,-1,2582.5,921.0,31,40
106,cam_2,0,-1,3581.0,635.0,22,22
107,cam_2,0,-1,1987.0,1300.5,12,9
107,cam_2,0,-1,2068.0,1279.5,10,9
107,cam_2,0,-1,2582.5,921.0,31,42
107,cam_2,0,-1,3585.0,635.0,24,22
108,cam_2,0,-1,2582.5,921.0,31,42
108,cam_2,0,-1,3585.0,635.0,24,22
109,cam_2,0,-1,3675.5,2156.0,11,8
109,cam_2,0,-1,3093.0,930.0,14,14
109,cam_2,0,-1,2582.5,921.0,31,42
109,cam_2,0,-1,3585.0,635.0,24,22
110,cam_2,0,-1,1549.5,1239.0,11,12
110,cam_2,0,-1,3093.0,930.0,14,14
110,cam_2,0,-1,2582.5,920.0,31,44
110,cam_2,0,-1,3585.5,634.5,23,21
111,cam_2,0,-1,1549.5,1239.0,11,12
111,cam_2,0,-1,3092.0,929.5,12,13
111,cam_2,0,-1,2582.5,920.0,31,44
111,cam_2,0,-1,3584.5,635.5,27,21
112,cam_2,0,-1,1549.5,1239.0,11,12
112,cam_2,0,-1,3093.5,931.5,9,9
112,cam_2,0,-1,2586.0,918.0,24,40
112,cam_2,0,-1,3583.5,636.5,29,21
113,cam_2,0,-1,1549.5,1239.0,11,12
113,cam_2,0,-1,2584.0,908.0,14,14
113,cam_2,0,-1,3584.5,637.0,27,20
