frame,cam_id,class_id,object_id,u,v,w,h
497,cam_1,0,-1,1404.96,1294.97,15.00,15.00
500,cam_1,0,-1,873.66,1140.00,15.00,7.50
502,cam_1,0,-1,862.53,1143.80,22.50,15.00
503,cam_1,0,-1,1367.89,962.34,60.00,52.50
504,cam_1,0,-1,1352.49,912.38,180.00,285.00
505,cam_1,0,-1,1355.75,866.03,180.00,240.00
506,cam_1,0,-1,1359.68,784.92,45.00,45.00
510,cam_1,0,-1,1173.73,1132.50,15.00,7.50
512,cam_1,0,-1,1404.09,706.42,37.50,60.00
513,cam_1,0,-1,1441.01,648.11,97.50,105.00
514,cam_1,0,-1,1479.58,590.41,165.00,300.00
515,cam_1,0,-1,1519.01,554.80,60.00,60.00
516,cam_1,0,-1,1551.29,533.29,262.50,300.00
517,cam_1,0,-1,1288.68,1058.47,67.50,82.50
518,cam_1,0,-1,1345.56,933.66,60.00,60.00
519,cam_1,0,-1,1697.78,437.91,45.00,45.00
520,cam_1,0,-1,1727.52,406.12,75.00,67.50
