frame,cam_id,class_id,object_id,u,v,w,h
109,cam_2,0,-1,3828.36,758.74,13.75,22.00
110,cam_2,0,-1,2468.67,1464.31,35.75,22.00
111,cam_2,0,-1,3827.29,757.14,13.75,19.25
112,cam_2,0,-1,3827.12,757.02,13.75,19.25
113,cam_2,0,-1,3827.26,757.35,13.75,22.00
114,cam_2,0,-1,3827.02,757.36,16.50,22.00
115,cam_2,0,-1,3826.64,757.20,16.50,22.00
116,cam_2,0,-1,3826.65,757.20,16.50,22.00
117,cam_2,0,-1,3826.65,757.21,16.50,22.00
118,cam_2,0,-1,3826.65,757.21,16.50,22.00
119,cam_2,0,-1,3827.02,757.37,16.50,22.00
120,cam_2,0,-1,3827.02,757.37,16.50,22.00
121,cam_2,0,-1,3827.26,757.34,13.75,22.00
122,cam_2,0,-1,3827.26,757.35,13.75,22.00
123,cam_2,0,-1,3826.60,757.34,19.25,22.00
124,cam_2,0,-1,1564.67,1217.20,19.25,19.25
125,cam_2,0,-1,1592.82,1224.72,19.25,16.50
126,cam_2,0,-1,1615.13,1224.15,11.00,16.50
127,cam_2,0,-1,2100.09,133.44,11.00,5.50
128,cam_2,0,-1,3828.17,755.49,11.00,16.50
129,cam_2,0,-1,1694.08,985.30,13.75,11.00
130,cam_2,0,-1,3828.12,755.78,11.00,16.50
131,cam_2,0,-1,3828.12,755.80,11.00,16.50
132,cam_2,0,-1,3828.17,755.55,11.00,16.50
133,cam_2,0,-1,1716.31,1237.70,16.50,11.00
134,cam_2,0,-1,1749.08,1244.44,13.75,19.25
135,cam_2,0,-1,1799.39,992.00,16.50,13.75
136,cam_2,0,-1,1831.83,1226.72,24.75,19.25
137,cam_2,0,-1,1837.45,1005.83,24.75,24.75
138,cam_2,0,-1,1856.33,1020.58,19.25,19.25
139,cam_2,0,-1,1874.67,1031.64,16.50,16.50
140,cam_2,0,-1,1902.60,1044.50,27.50,24.75
141,cam_2,0,-1,3828.11,756.12,11.00,16.50
142,cam_2,0,-1,3828.10,756.08,11.00,16.50
143,cam_2,0,-1,3828.13,755.54,11.00,16.50
144,cam_2,0,-1,3828.08,756.03,11.00,16.50
145,cam_2,0,-1,3828.07,756.04,11.00,16.50
146,cam_2,0,-1,3828.08,756.06,11.00,16.50
147,cam_2,0,-1,2051.74,1138.13,19.25,19.25
