frame,cam_id,class_id,object_id,u,v,w,h
91,cam_0,0,-1,3292.50,543.72,7.50,15.00
137,cam_0,0,-1,1500.00,412.50,7.50,7.50
139,cam_0,0,-1,1480.67,430.08,67.50,45.00
140,cam_0,0,-1,3360.00,247.50,7.50,7.50
141,cam_0,0,-1,3802.50,1189.24,7.50,15.00
168,cam_0,0,-1,1473.76,817.58,15.00,22.50
174,cam_0,0,-1,1425.10,807.73,22.50,30.00
175,cam_0,0,-1,1423.99,814.87,30.00,15.00
176,cam_0,0,-1,2584.85,727.02,30.00,37.50
177,cam_0,0,-1,2572.91,741.73,52.50,45.00
178,cam_0,0,-1,2562.76,745.79,60.00,60.00
181,cam_0,0,-1,1901.27,315.00,15.00,7.50
182,cam_0,0,-1,2602.50,603.97,7.50,15.00
183,cam_0,0,-1,2654.25,644.36,52.50,37.50
184,cam_0,0,-1,2699.88,698.67,75.00,67.50
185,cam_0,0,-1,2734.49,743.03,187.50,240.00
186,cam_0,0,-1,2781.79,815.06,142.50,142.50
187,cam_0,0,-1,2813.75,861.65,52.50,52.50
188,cam_0,0,-1,2842.06,810.55,60.00,52.50
189,cam_0,0,-1,2857.43,767.76,52.50,45.00
196,cam_0,0,-1,3406.35,1048.05,22.50,30.00
197,cam_0,0,-1,2933.74,826.54,30.00,37.50
199,cam_0,0,-1,3079.92,647.42,30.00,30.00
200,cam_0,0,-1,3108.82,666.28,22.50,30.00
201,cam_0,0,-1,2482.50,840.00,7.50,7.50
202,cam_0,0,-1,3174.36,718.60,45.00,37.50
203,cam_0,0,-1,3213.21,765.69,60.00,52.50
204,cam_0,0,-1,3248.80,824.76,60.00,60.00
205,cam_0,0,-1,3285.58,897.32,52.50,60.00
206,cam_0,0,-1,3313.50,987.52,45.00,45.00
207,cam_0,0,-1,3340.43,1058.93,15.00,22.50
208,cam_0,0,-1,3360.66,997.60,37.50,37.50
210,cam_0,0,-1,3331.90,712.43,45.00,45.00
211,cam_0,0,-1,3290.18,889.81,45.00,45.00
213,cam_0,0,-1,3467.49,893.67,45.00,45.00
214,cam_0,0,-1,3462.10,891.34,105.00,120.00
215,cam_0,0,-1,3541.90,890.69,15.00,15.00
216,cam_0,0,-1,3561.18,890.22,45.00,22.50
217,cam_0,0,-1,3586.48,889.78,22.50,15.00
218,cam_0,0,-1,3615.00,877.50,7.50,7.50
220,cam_0,0,-1,3579.17,949.63,22.50,15.00
222,cam_0,0,-1,3820.39,1116.02,15.00,22.50
223,cam_0,0,-1,3817.50,1113.71,7.50,15.00
224,cam_0,0,-1,3817.59,1188.72,22.50,15.00
225,cam_0,0,-1,3590.08,922.32,15.00,22.50
230,cam_0,0,-1,3489.97,1180.02,15.00,15.00
232,cam_0,0,-1,3469.96,1117.66,67.50,52.50
233,cam_0,0,-1,3547.72,928.74,90.00,75.00
234,cam_0,0,-1,3421.08,1029.15,60.00,52.50
236,cam_0,0,-1,3337.75,1090.96,52.50,75.00
238,cam_0,0,-1,3437.28,1032.13,45.00,37.50
241,cam_0,0,-1,2970.00,1072.50,7.50,7.50
242,cam_0,0,-1,3075.94,1039.09,45.00,52.50
243,cam_0,0,-1,2940.15,912.78,22.50,37.50
244,cam_0,0,-1,2863.23,941.89,45.00,52.50
245,cam_0,0,-1,2823.95,971.70,180.00,157.50
246,cam_0,0,-1,2730.52,1097.97,67.50,60.00
