frame,cam_id,class_id,object_id,u,v,w,h
4,cam_0,0,-1,3792.0,125.0,22,20
7,cam_0,0,-1,3724.0,192.5,22,51
9,cam_0,0,-1,3734.5,99.5,33,43
14,cam_0,0,-1,3696.5,270.5,27,29
16,cam_0,0,-1,3834.0,316.0,12,24
35,cam_0,0,-1,3743.5,355.0,37,68
45,cam_0,0,-1,3827.0,266.5,26,109
47,cam_0,0,-1,3789.0,248.0,46,100
84,cam_0,0,-1,1602.5,479.0,15,16
85,cam_0,0,-1,1635.0,477.5,26,19
86,cam_0,0,-1,1630.0,483.5,24,21
87,cam_0,0,-1,1600.5,435.5,37,29
88,cam_0,0,-1,1594.0,481.0,16,16
88,cam_0,0,-1,1604.0,434.0,24,26
89,cam_0,0,-1,1604.0,434.0,26,26
91,cam_0,0,-1,1564.5,438.0,27,20
92,cam_0,0,-1,1566.0,439.0,30,22
92,cam_0,0,-1,1600.5,433.5,15,15
93,cam_0,0,-1,1566.0,437.0,24,20
95,cam_0,0,-1,3826.5,213.0,27,126
96,cam_0,0,-1,3822.5,227.5,35,171
97,cam_0,0,-1,3816.0,247.0,48,170
135,cam_0,0,-1,3741.0,309.5,24,45
137,cam_0,0,-1,1554.0,516.0,62,58
138,cam_0,0,-1,1566.5,472.5,19,27
138,cam_0,0,-1,3512.0,269.5,28,51
139,cam_0,0,-1,3432.5,264.5,45,47
140,cam_0,0,-1,3360.5,259.5,33,49
143,cam_0,0,-1,2438.0,715.5,12,17
143,cam_0,0,-1,1547.5,482.5,19,11
144,cam_0,0,-1,1546.0,482.5,16,11
147,cam_0,0,-1,2406.5,540.0,19,30
148,cam_0,0,-1,2381.5,536.0,23,28
152,cam_0,0,-1,2844.5,673.5,13,15
152,cam_0,0,-1,2861.0,562.5,44,65
155,cam_0,0,-1,3538.5,1138.0,25,28
156,cam_0,0,-1,3512.5,1143.5,25,29
156,cam_0,0,-1,1233.5,508.5,17,13
157,cam_0,0,-1,3495.0,1140.0,22,36
