frame,cam_id,class_id,object_id,u,v,w,h
4,cam_1,0,-1,1872.385971069336,1191.6635437011719,33.544708251953125,32.53253173828125
7,cam_1,0,-1,2680.9111328125,1324.5875244140625,80.51171875,92.345947265625
16,cam_1,0,-1,1471.992603302002,1042.1521759033203,52.423789978027344,53.491790771484375
19,cam_1,0,-1,1310.37646484375,1432.3251342773438,42.532958984375,40.3170166015625
20,cam_1,0,-1,1391.9921875,1025.1516571044922,28.671630859375,28.869720458984375
21,cam_1,0,-1,1306.4694213867188,1428.0705871582031,54.1795654296875,50.04547119140625
24,cam_1,0,-1,1285.4644775390625,1398.0536499023438,53.009521484375,53.1021728515625
26,cam_1,0,-1,1266.8154907226562,1382.6358947753906,53.4835205078125,52.73297119140625
35,cam_1,0,-1,1135.3240966796875,1331.2677612304688,52.279541015625,51.0264892578125
37,cam_1,0,-1,1916.224609375,1434.11083984375,90.48291015625,105.8349609375
45,cam_1,0,-1,115.78646087646484,1312.556396484375,50.37245178222656,49.452392578125
47,cam_1,0,-1,106.74635696411133,1312.4754638671875,45.98546600341797,43.798828125
49,cam_1,0,-1,105.5113410949707,1312.8132629394531,43.67253875732422,42.58001708984375
49,cam_1,0,-1,1195.2259521484375,1254.101806640625,92.930908203125,91.6806640625
50,cam_1,0,-1,1146.5687255859375,1244.51953125,95.5654296875,98.7626953125
50,cam_1,0,-1,105.44054412841797,1312.9633483886719,43.64228820800781,42.08892822265625
51,cam_1,0,-1,931.5233459472656,1174.3272705078125,53.73687744140625,54.21728515625
54,cam_1,0,-1,613.3384094238281,767.2335510253906,50.18280029296875,47.92559814453125
57,cam_1,0,-1,2280.534912109375,1117.171142578125,135.50927734375,137.1083984375
60,cam_1,0,-1,764.2261962890625,1396.1982421875,95.332275390625,88.66552734375
68,cam_1,0,-1,894.3526000976562,90.46316528320312,44.0870361328125,48.62409973144531
78,cam_1,0,-1,208.75418090820312,632.4248352050781,37.934814453125,36.15985107421875
79,cam_1,0,-1,208.81006622314453,632.1737365722656,35.73789978027344,35.28326416015625
88,cam_1,0,-1,1488.6558151245117,483.060546875,45.68104553222656,46.3931884765625
97,cam_1,0,-1,62.46249008178711,980.9156799316406,54.963584899902344,53.46063232421875
143,cam_1,0,-1,320.06382751464844,227.86124420166016,45.431243896484375,48.19111633300781
143,cam_1,0,-1,386.645263671875,281.48966217041016,57.2955322265625,56.32859802246094
388,cam_1,0,-1,458.39520263671875,193.14356994628906,27.7125244140625,27.337432861328125
398,cam_1,0,-1,57.25551223754883,111.98145294189453,114.51102447509766,112.81651306152344
399,cam_1,0,-1,71.31078147888184,217.17713165283203,53.05403518676758,54.10652160644531
444,cam_1,0,-1,1226.5167236328125,880.7462768554688,62.0888671875,59.0751953125
451,cam_1,0,-1,1832.4417724609375,958.2922973632812,70.722900390625,71.1097412109375
457,cam_1,0,-1,2024.0325927734375,911.2416381835938,70.677490234375,72.8802490234375
458,cam_1,0,-1,2059.2310180664062,929.19482421875,68.1531982421875,75.307373046875
464,cam_1,0,-1,2056.00146484375,798.5658569335938,75.0419921875,74.9031982421875
465,cam_1,0,-1,2023.0586242675781,910.6836242675781,60.57928466796875,58.97906494140625
466,cam_1,0,-1,1928.2161865234375,747.8136596679688,76.301025390625,80.2757568359375
467,cam_1,0,-1,1861.029541015625,732.5916748046875,94.21630859375,82.413330078125
470,cam_1,0,-1,2204.2044677734375,906.6504669189453,70.8780517578125,63.042633056640625
473,cam_1,0,-1,2309.653289794922,990.2950897216797,57.69537353515625,57.846343994140625
486,cam_1,0,-1,1240.6292724609375,1087.8974609375,116.03173828125,120.693359375
499,cam_1,0,-1,1533.5682067871094,730.9333457946777,59.739227294921875,58.28919219970703
500,cam_1,0,-1,1544.3347778320312,740.3089599609375,63.157958984375,60.6298828125
500,cam_1,0,-1,1669.8728790283203,1464.1310424804688,29.837738037109375,27.9031982421875
502,cam_1,0,-1,1107.10009765625,1137.815673828125,48.693603515625,47.258056640625
516,cam_1,0,-1,1980.7515258789062,1229.0797729492188,47.1002197265625,48.8172607421875
517,cam_1,0,-1,1476.016357421875,1367.8451843261719,47.96728515625,46.45550537109375
