epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4856,1.71524,5.90482,1.68004,0.61926,0.2082,0.23683,0.09632,2.78898,5.54834,1.25069,0.000663934,0.000663934,0.000663934
2,116.354,1.78886,1.91539,1.63989,0.43119,0.2429,0.20411,0.06656,2.98353,3.16675,1.25588,0.00130426,0.00130426,0.00130426
3,170.809,1.71185,1.71433,1.5907,0.53698,0.26183,0.27871,0.11783,2.53789,2.53065,1.16956,0.00191818,0.00191818,0.00191818
4,225.322,1.69555,1.60528,1.55906,0.49543,0.20189,0.19962,0.07392,2.71018,2.73374,1.20982,0.0018812,0.0018812,0.0018812
5,279.606,1.61179,1.46894,1.50449,0.55012,0.28076,0.28256,0.10331,2.51838,2.69204,1.15914,0.0018416,0.0018416,0.0018416
6,333.884,1.57992,1.39249,1.4768,0.68576,0.31546,0.35657,0.15013,2.40014,2.27857,1.1053,0.001802,0.001802,0.001802
7,388.4,1.53818,1.28865,1.43645,0.52724,0.34829,0.32616,0.11592,2.55766,2.31338,1.16995,0.0017624,0.0017624,0.0017624
8,442.707,1.50574,1.24801,1.42281,0.66305,0.4035,0.466,0.18289,2.41993,1.74663,1.11886,0.0017228,0.0017228,0.0017228
9,497.188,1.4777,1.18244,1.39898,0.67338,0.44225,0.47742,0.18849,2.31583,1.67108,1.06961,0.0016832,0.0016832,0.0016832
10,551.541,1.45687,1.13654,1.38353,0.65361,0.4795,0.53594,0.20379,2.32023,1.64255,1.09573,0.0016436,0.0016436,0.0016436
11,605.893,1.43323,1.08103,1.36086,0.56834,0.4858,0.47737,0.17479,2.30242,1.96952,1.0811,0.001604,0.001604,0.001604
12,660.359,1.40903,1.06953,1.34494,0.69196,0.52439,0.55343,0.20619,2.31379,1.70135,1.08362,0.0015644,0.0015644,0.0015644
13,714.827,1.39,1.00569,1.33553,0.56667,0.53628,0.5126,0.20858,2.19955,2.59028,1.05815,0.0015248,0.0015248,0.0015248
14,769.212,1.38362,1.00861,1.32545,0.71198,0.4795,0.54554,0.23669,2.20127,1.70924,1.09075,0.0014852,0.0014852,0.0014852
15,823.547,1.37271,0.99345,1.30906,0.66669,0.4795,0.48888,0.18844,2.25448,1.65784,1.10159,0.0014456,0.0014456,0.0014456
16,877.807,1.34667,0.94405,1.29477,0.76745,0.54135,0.59373,0.23829,2.22589,1.60483,1.06964,0.001406,0.001406,0.001406
17,932.244,1.31901,0.93245,1.28346,0.81839,0.56863,0.63024,0.26202,2.13411,1.44364,1.0394,0.0013664,0.0013664,0.0013664
18,986.636,1.32014,0.89635,1.29184,0.72058,0.53693,0.55977,0.24668,2.07807,1.4786,1.04199,0.0013268,0.0013268,0.0013268
19,1040.85,1.32973,0.88409,1.2859,0.68451,0.57098,0.59271,0.24428,2.1617,1.55514,1.05666,0.0012872,0.0012872,0.0012872
20,1095.08,1.29651,0.86354,1.25813,0.69506,0.58675,0.60312,0.24843,2.14029,1.43044,1.04712,0.0012476,0.0012476,0.0012476
21,1149.43,1.28232,0.82789,1.26424,0.74061,0.55843,0.58106,0.23924,2.15102,1.55652,1.05275,0.001208,0.001208,0.001208
22,1203.88,1.26145,0.82143,1.24771,0.7916,0.58714,0.6213,0.25381,2.21272,1.31131,1.07329,0.0011684,0.0011684,0.0011684
23,1258.2,1.25734,0.80327,1.24554,0.72212,0.58204,0.6172,0.26408,2.08637,1.35035,1.05329,0.0011288,0.0011288,0.0011288
24,1312.61,1.24069,0.79753,1.22646,0.77571,0.58044,0.63365,0.27225,2.17816,1.31729,1.08194,0.0010892,0.0010892,0.0010892
25,1367.04,1.24436,0.77369,1.22857,0.73263,0.58778,0.62114,0.26888,2.07503,1.3582,1.05359,0.0010496,0.0010496,0.0010496
26,1421.38,1.21854,0.75436,1.2098,0.73724,0.5576,0.60885,0.27523,2.07369,1.34592,1.06484,0.00101,0.00101,0.00101
