frame,cam_id,object_id,u,v
0,cam_1,1,680.5197143554688,1251.790771484375
0,cam_1,2,646.28759765625,770.253173828125
0,cam_1,3,577.5010986328125,1261.4544677734375
0,cam_1,4,1855.8165283203125,1301.000732421875
0,cam_1,5,1474.4658203125,922.6965942382812
0,cam_1,6,1644.239990234375,985.4711303710938
0,cam_1,7,1554.978515625,1125.3948974609375
0,cam_1,8,1832.76806640625,1086.4921875
0,cam_1,9,1624.644287109375,761.0732421875
0,cam_1,10,1423.91552734375,713.7351684570312
0,cam_1,11,51.55998992919922,483.6372375488281
0,cam_1,12,663.1187744140625,503.3917236328125
0,cam_1,13,1831.814697265625,470.07232666015625
1,cam_1,1,678.4656982421875,1252.9168701171875
1,cam_1,2,646.3377685546875,770.6983642578125
1,cam_1,3,582.2064208984375,1261.97705078125
1,cam_1,4,1853.8011474609375,1297.641845703125
1,cam_1,5,1472.71875,923.11279296875
1,cam_1,6,1637.8729248046875,986.9661865234375
1,cam_1,7,1582.2137451171875,1134.68896484375
1,cam_1,8,1836.88330078125,1091.8045654296875
1,cam_1,9,1624.23779296875,759.6005859375
1,cam_1,10,1423.581787109375,714.1998291015625
1,cam_1,11,51.36082458496094,483.7762451171875
1,cam_1,12,661.9493408203125,503.714111328125
2,cam_1,1,676.9866943359375,1252.552001953125
2,cam_1,2,646.3623046875,770.500732421875
2,cam_1,3,587.4292602539062,1262.5247802734375
2,cam_1,4,1850.275634765625,1292.4683837890625
2,cam_1,5,1471.260986328125,924.2904052734375
2,cam_1,6,1633.9366455078125,980.844482421875
2,cam_1,7,1591.95166015625,1142.1519775390625
2,cam_1,8,1843.867431640625,1105.309326171875
2,cam_1,9,1624.037353515625,758.5484619140625
2,cam_1,10,1423.39013671875,714.3359375
2,cam_1,11,51.340084075927734,483.72967529296875
2,cam_1,12,661.3424072265625,503.873291015625
3,cam_1,1,672.3406982421875,1251.650146484375
3,cam_1,2,646.328857421875,770.7973022460938
3,cam_1,3,589.1982421875,1262.463134765625
3,cam_1,4,1847.132080078125,1296.491455078125
3,cam_1,5,1468.7962646484375,929.9765625
3,cam_1,6,1615.502197265625,941.0969848632812
3,cam_1,7,1614.22900390625,1149.061767578125
3,cam_1,8,1851.564697265625,1123.27197265625
3,cam_1,9,1623.795654296875,759.9124755859375
3,cam_1,10,1423.163330078125,714.8131103515625
3,cam_1,11,51.51006317138672,483.9019775390625
3,cam_1,12,661.14990234375,503.948974609375
4,cam_1,1,666.9912719726562,1250.880615234375
4,cam_1,2,646.0984497070312,771.0474853515625
4,cam_1,3,583.9671630859375,1263.16259765625
4,cam_1,4,1842.2857666015625,1298.926513671875
4,cam_1,5,1469.902099609375,937.7666015625
4,cam_1,6,1605.13134765625,928.5305786132812
4,cam_1,7,1637.157958984375,1155.5220947265625
4,cam_1,8,1858.005615234375,1133.9061279296875
4,cam_1,9,1623.692138671875,758.40478515625
4,cam_1,10,1423.177978515625,714.869873046875
4,cam_1,11,51.468284606933594,483.8328857421875
4,cam_1,12,661.21044921875,503.947509765625
4,cam_1,14,583.34716796875,1262.240966796875
5,cam_1,1,663.16455078125,1251.095458984375
5,cam_1,2,646.0032348632812,771.5040283203125
5,cam_1,3,590.4986572265625,1260.488525390625
5,cam_1,4,1839.546142578125,1302.37841796875
5,cam_1,5,1471.503662109375,942.06005859375
5,cam_1,6,1623.931884765625,931.477783203125
5,cam_1,7,1667.198486328125,1159.242919921875
5,cam_1,8,1864.865234375,1140.1165771484375
5,cam_1,9,1624.654052734375,765.857666015625
5,cam_1,10,1423.3603515625,715.3596801757812
5,cam_1,11,51.135536193847656,483.81109619140625
5,cam_1,12,661.5872802734375,504.20758056640625
5,cam_1,14,586.073486328125,1261.00146484375
6,cam_1,1,661.9154663085938,1250.447998046875
6,cam_1,2,645.440185546875,771.9547729492188
6,cam_1,3,610.381591796875,1260.215087890625
6,cam_1,4,1834.877685546875,1304.271484375
6,cam_1,5,1474.33984375,942.005126953125
6,cam_1,6,1618.6561279296875,950.03857421875
6,cam_1,7,1682.4326171875,1161.1802978515625
6,cam_1,8,1870.9298095703125,1143.8067626953125
