epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.679,1.8807,5.65929,1.50668,0.37759,0.33108,0.29827,0.13359,2.08675,2.64038,1.7563,0.000665644,0.000665644,0.000665644
2,351.826,1.81447,2.23993,1.53498,0.65951,0.4827,0.52187,0.25659,1.86648,1.847,1.72443,0.00131912,0.00131912,0.00131912
3,526.218,1.87664,2.48087,1.61304,0.55495,0.47003,0.47962,0.22466,2.00527,1.85329,1.7544,0.0019594,0.0019594,0.0019594
4,700.235,1.75644,2.05877,1.57101,0.59248,0.46372,0.48923,0.23887,1.86751,1.84333,1.70976,0.0019406,0.0019406,0.0019406
5,874.148,1.7221,1.71312,1.54526,0.71797,0.53807,0.58852,0.29376,1.84954,1.60615,1.69082,0.0019208,0.0019208,0.0019208
6,1048.32,1.66363,1.51737,1.47713,0.71094,0.54574,0.58232,0.29659,1.79304,1.60796,1.65058,0.001901,0.001901,0.001901
7,1222.33,1.61095,1.49641,1.45213,0.73208,0.60339,0.61452,0.30278,1.79439,1.58743,1.62914,0.0018812,0.0018812,0.0018812
8,1396.56,1.59926,1.47077,1.4399,0.70897,0.53943,0.61281,0.31967,1.77683,1.52381,1.63666,0.0018614,0.0018614,0.0018614
9,1570.69,1.60915,1.37708,1.44124,0.78161,0.58044,0.63067,0.32007,1.75368,1.45776,1.62701,0.0018416,0.0018416,0.0018416
10,1744.98,1.58663,1.33332,1.44474,0.73238,0.63407,0.64443,0.32408,1.68729,1.35796,1.57948,0.0018218,0.0018218,0.0018218
11,1919.08,1.54703,1.35848,1.39826,0.80301,0.60883,0.65426,0.32549,1.79959,1.38175,1.67838,0.001802,0.001802,0.001802
12,2093.19,1.53119,1.3011,1.38593,0.83679,0.66877,0.7391,0.37468,1.79184,1.29197,1.62239,0.0017822,0.0017822,0.0017822
13,2267.28,1.51391,1.26957,1.39454,0.78717,0.63722,0.67566,0.35378,1.67723,1.34065,1.6119,0.0017624,0.0017624,0.0017624
14,2441.2,1.48744,1.23995,1.38167,0.77386,0.6183,0.67316,0.35329,1.67987,1.38918,1.58824,0.0017426,0.0017426,0.0017426
15,2615.27,1.4621,1.19282,1.37614,0.80826,0.6877,0.72048,0.37823,1.6749,1.21905,1.58462,0.0017228,0.0017228,0.0017228
16,2789.52,1.44019,1.17555,1.35128,0.82224,0.72555,0.75631,0.36113,1.80007,1.2078,1.63877,0.001703,0.001703,0.001703
17,2963.29,1.42244,1.1216,1.34337,0.84016,0.64666,0.71168,0.38504,1.63051,1.22993,1.55599,0.0016832,0.0016832,0.0016832
18,3137.4,1.43147,1.12187,1.32131,0.83592,0.69108,0.73965,0.37142,1.69806,1.23943,1.61022,0.0016634,0.0016634,0.0016634
19,3311.43,1.43764,1.12774,1.34144,0.81877,0.66984,0.71356,0.37909,1.64485,1.19553,1.55646,0.0016436,0.0016436,0.0016436
20,3485.34,1.38013,1.05156,1.31375,0.8296,0.67192,0.71182,0.38655,1.62661,1.2049,1.55601,0.0016238,0.0016238,0.0016238
21,3659.32,1.37271,1.06021,1.30975,0.82148,0.63869,0.71508,0.37478,1.63802,1.27574,1.57568,0.001604,0.001604,0.001604
22,3833.27,1.38598,1.02927,1.30761,0.80318,0.66942,0.70786,0.38989,1.595,1.22588,1.56848,0.0015842,0.0015842,0.0015842
23,4007.37,1.35977,1.03202,1.30462,0.79749,0.68139,0.7248,0.393,1.59551,1.20655,1.55277,0.0015644,0.0015644,0.0015644
24,4181.49,1.38027,1.06287,1.31293,0.80069,0.70032,0.7161,0.36895,1.62427,1.19196,1.60948,0.0015446,0.0015446,0.0015446
25,4355.48,1.34351,1.00436,1.2816,0.81403,0.6904,0.72846,0.38568,1.61404,1.19375,1.55538,0.0015248,0.0015248,0.0015248
26,4529.38,1.33015,1.0043,1.28025,0.82066,0.71609,0.76719,0.40275,1.6167,1.14585,1.56541,0.001505,0.001505,0.001505
27,4703.62,1.3293,0.98429,1.27422,0.79791,0.72239,0.72993,0.39265,1.60901,1.16575,1.57425,0.0014852,0.0014852,0.0014852
28,4877.6,1.28735,0.94871,1.25926,0.79982,0.73104,0.75596,0.40037,1.59015,1.12338,1.54822,0.0014654,0.0014654,0.0014654
29,5051.65,1.26837,0.93759,1.22541,0.74857,0.72871,0.74134,0.40452,1.57661,1.17087,1.53882,0.0014456,0.0014456,0.0014456
30,5225.81,1.28003,0.95655,1.24624,0.82975,0.69401,0.75802,0.41537,1.58323,1.1994,1.54475,0.0014258,0.0014258,0.0014258
31,5400.02,1.28032,0.92922,1.25094,0.80667,0.71078,0.75908,0.41315,1.59797,1.1592,1.55449,0.001406,0.001406,0.001406
32,5574.06,1.27092,0.91761,1.24011,0.8387,0.7224,0.76681,0.41363,1.61485,1.18407,1.57105,0.0013862,0.0013862,0.0013862
33,5748,1.28504,0.88841,1.24338,0.78255,0.70347,0.7388,0.40871,1.59018,1.1623,1.55986,0.0013664,0.0013664,0.0013664
34,5921.96,1.24011,0.91058,1.22595,0.80387,0.76284,0.77836,0.42194,1.56721,1.07237,1.56717,0.0013466,0.0013466,0.0013466
35,6096.03,1.21066,0.89103,1.20206,0.80038,0.72094,0.75596,0.41489,1.56234,1.14949,1.55664,0.0013268,0.0013268,0.0013268
36,6269.89,1.21635,0.8833,1.21296,0.78811,0.71575,0.75454,0.41844,1.56666,1.17259,1.54187,0.001307,0.001307,0.001307
37,6443.8,1.20063,0.86541,1.19917,0.80896,0.72871,0.75226,0.40076,1.63058,1.21283,1.58891,0.0012872,0.0012872,0.0012872
38,6617.7,1.1999,0.82598,1.20164,0.82909,0.70662,0.75994,0.41396,1.59926,1.18174,1.56412,0.0012674,0.0012674,0.0012674
39,6791.46,1.20717,0.83452,1.21246,0.83769,0.67823,0.74493,0.40369,1.56828,1.17189,1.57719,0.0012476,0.0012476,0.0012476
40,6965.35,1.16645,0.79491,1.18194,0.80822,0.70662,0.75851,0.40439,1.61816,1.19829,1.58528,0.0012278,0.0012278,0.0012278
41,7139.23,1.14417,0.78315,1.17707,0.83966,0.70978,0.78217,0.41445,1.60258,1.08342,1.5565,0.001208,0.001208,0.001208
42,7313.22,1.14372,0.79523,1.17965,0.79524,0.6861,0.72897,0.39946,1.57345,1.25531,1.58392,0.0011882,0.0011882,0.0011882
43,7487.15,1.16537,0.79431,1.17425,0.82485,0.70032,0.76199,0.42252,1.61351,1.12512,1.60256,0.0011684,0.0011684,0.0011684
44,7661.3,1.1326,0.75972,1.16766,0.86349,0.66562,0.75846,0.39997,1.61444,1.15761,1.61726,0.0011486,0.0011486,0.0011486
45,7835.13,1.11068,0.75114,1.14884,0.84419,0.7224,0.76752,0.41685,1.60721,1.06136,1.60141,0.0011288,0.0011288,0.0011288
46,8009.02,1.09979,0.74171,1.13108,0.78284,0.70507,0.72992,0.40506,1.64764,1.20026,1.65663,0.001109,0.001109,0.001109
47,8182.96,1.10583,0.72093,1.14548,0.82082,0.72255,0.77918,0.43035,1.61161,1.09738,1.63789,0.0010892,0.0010892,0.0010892
48,8357.04,1.08233,0.71676,1.13477,0.7697,0.70032,0.73246,0.40209,1.62923,1.1319,1.64004,0.0010694,0.0010694,0.0010694
49,8530.93,1.06726,0.69683,1.13472,0.79327,0.69401,0.75275,0.42731,1.60111,1.14061,1.60112,0.0010496,0.0010496,0.0010496
50,8704.81,1.06397,0.68291,1.13181,0.84514,0.67144,0.75629,0.40853,1.64509,1.19223,1.6423,0.0010298,0.0010298,0.0010298
51,8878.86,1.07784,0.69528,1.12195,0.77142,0.73817,0.7427,0.4035,1.61474,1.08833,1.63168,0.00101,0.00101,0.00101
52,9052.63,1.02347,0.65914,1.09037,0.85042,0.73531,0.78603,0.42604,1.63923,1.06425,1.65305,0.0009902,0.0009902,0.0009902
53,9226.46,1.0135,0.64658,1.09667,0.83469,0.71609,0.77415,0.41371,1.64016,1.11375,1.64734,0.0009704,0.0009704,0.0009704
54,9400.36,1.00656,0.63793,1.08919,0.85614,0.73218,0.79447,0.42489,1.62843,1.06546,1.64402,0.0009506,0.0009506,0.0009506
55,9574.2,0.99534,0.62126,1.07452,0.83184,0.69716,0.77151,0.41488,1.65881,1.21007,1.67508,0.0009308,0.0009308,0.0009308
56,9748.07,0.99709,0.61459,1.0945,0.83115,0.69879,0.76983,0.42126,1.64497,1.13513,1.65164,0.000911,0.000911,0.000911
57,9921.97,1.00888,0.59119,1.08962,0.8078,0.74249,0.78602,0.42793,1.64219,1.11723,1.67403,0.0008912,0.0008912,0.0008912
58,10095.8,0.98035,0.57235,1.06695,0.80159,0.69716,0.74209,0.41007,1.64321,1.21321,1.62974,0.0008714,0.0008714,0.0008714
59,10269.7,0.92844,0.57026,1.0483,0.79469,0.70821,0.74828,0.40175,1.64614,1.11439,1.68886,0.0008516,0.0008516,0.0008516
