epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5386,1.64295,15.8826,1.38471,0.33946,0.41515,0.40376,0.23264,1.43799,14.7422,1.26453,0.000546704,0.000546704,0.000546704
2,35.8221,1.43946,8.72793,1.2735,0.70761,0.49495,0.51547,0.28123,1.43435,7.06128,1.358,0.00109146,0.00109146,0.00109146
3,51.804,1.4954,8.92396,1.33777,0.94739,0.4295,0.49514,0.28726,1.47458,9.37018,1.34413,0.00162521,0.00162521,0.00162521
4,68.4426,1.77964,12.2435,1.50335,0.5624,0.52484,0.50243,0.25284,1.55739,9.6756,1.53481,0.00161749,0.00161749,0.00161749
5,84.2424,1.61213,11.247,1.46416,0.4615,0.56484,0.46207,0.22819,1.59149,10.9781,1.4507,0.00160099,0.00160099,0.00160099
6,100.215,1.57227,9.01667,1.35862,0.55934,0.60303,0.5535,0.27572,1.57677,8.06253,1.41441,0.00158448,0.00158448,0.00158448
7,115.997,1.52187,8.05445,1.32362,0.93957,0.4596,0.57354,0.28515,1.4319,7.84567,1.37378,0.00156798,0.00156798,0.00156798
8,131.826,1.48114,7.53173,1.33328,0.50124,0.63939,0.59052,0.32154,1.37803,6.68807,1.32436,0.00155148,0.00155148,0.00155148
9,147.732,1.42288,6.88565,1.29609,0.58658,0.55728,0.58082,0.33858,1.31449,6.20956,1.27539,0.00153497,0.00153497,0.00153497
10,163.687,1.42313,6.59023,1.30875,0.6127,0.65856,0.6165,0.35582,1.34333,5.90111,1.26812,0.00151847,0.00151847,0.00151847
11,179.728,1.41414,6.40216,1.26023,0.725,0.63434,0.62842,0.34732,1.3281,5.67585,1.28008,0.00150197,0.00150197,0.00150197
12,195.539,1.391,6.29076,1.27995,0.6838,0.62424,0.64316,0.36056,1.3514,5.57218,1.27629,0.00148546,0.00148546,0.00148546
13,211.392,1.37906,6.20374,1.25331,0.57267,0.55354,0.58557,0.31315,1.39732,6.02852,1.32058,0.00146896,0.00146896,0.00146896
14,227.187,1.39198,6.40464,1.30858,0.55652,0.58182,0.56462,0.30745,1.46903,5.94401,1.34043,0.00145246,0.00145246,0.00145246
15,243,1.37821,6.07815,1.285,0.64375,0.64444,0.64248,0.35097,1.35624,5.37874,1.27638,0.00143595,0.00143595,0.00143595
16,258.76,1.34135,5.90791,1.26083,0.58995,0.59091,0.59941,0.34389,1.33955,5.52051,1.28462,0.00141945,0.00141945,0.00141945
17,274.542,1.37722,5.87791,1.24222,0.63624,0.68889,0.67303,0.33762,1.37143,5.66934,1.31213,0.00140295,0.00140295,0.00140295
18,290.311,1.36682,5.92188,1.2484,0.68151,0.63308,0.63433,0.33901,1.32366,5.50447,1.28271,0.00138644,0.00138644,0.00138644
19,306.069,1.35413,5.7111,1.26302,0.7148,0.66392,0.69059,0.30821,1.42301,5.98393,1.34848,0.00136994,0.00136994,0.00136994
20,321.898,1.33906,5.85282,1.24691,0.70953,0.70101,0.68003,0.37687,1.28436,5.61486,1.25927,0.00135344,0.00135344,0.00135344
21,337.747,1.30414,5.72365,1.26206,0.67877,0.65657,0.66521,0.36531,1.34919,5.40924,1.29928,0.00133693,0.00133693,0.00133693
22,353.538,1.29189,5.4957,1.22375,0.7787,0.62323,0.6552,0.36152,1.26173,5.18935,1.25088,0.00132043,0.00132043,0.00132043
23,369.327,1.2644,5.25034,1.19148,0.81004,0.6404,0.68622,0.35451,1.28352,5.07061,1.2448,0.00130393,0.00130393,0.00130393
24,385.078,1.25012,5.33734,1.21237,0.7827,0.68889,0.70222,0.3845,1.27436,5.07803,1.26791,0.00128742,0.00128742,0.00128742
25,400.893,1.24013,5.28231,1.21381,0.70019,0.68921,0.68378,0.38749,1.22816,5.03081,1.24129,0.00127092,0.00127092,0.00127092
26,416.728,1.27476,5.26166,1.2133,0.74129,0.66825,0.69469,0.35783,1.31859,5.1375,1.28001,0.00125442,0.00125442,0.00125442
27,432.558,1.27701,5.368,1.19851,0.7243,0.68738,0.70303,0.37612,1.29095,5.05754,1.24809,0.00123791,0.00123791,0.00123791
28,448.296,1.24705,5.05921,1.17714,0.76868,0.63838,0.69826,0.37428,1.29765,4.84878,1.24059,0.00122141,0.00122141,0.00122141
29,464.02,1.243,5.01484,1.17959,0.77467,0.71616,0.72622,0.39156,1.25055,4.82718,1.22372,0.00120491,0.00120491,0.00120491
30,479.845,1.21969,5.00945,1.17688,0.69283,0.68579,0.72135,0.39817,1.19949,4.79432,1.21411,0.0011884,0.0011884,0.0011884
31,495.642,1.26333,5.08324,1.18769,0.84672,0.71313,0.75079,0.3931,1.26081,5.01129,1.25812,0.0011719,0.0011719,0.0011719
32,511.389,1.23445,5.07097,1.20159,0.79434,0.67778,0.70548,0.3868,1.23876,4.97314,1.23917,0.0011554,0.0011554,0.0011554
33,527.207,1.19932,4.99935,1.16877,0.71304,0.72525,0.70855,0.391,1.22496,4.92343,1.22355,0.00113889,0.00113889,0.00113889
34,542.952,1.2048,4.88267,1.17548,0.67868,0.77879,0.72427,0.40391,1.22203,4.70974,1.22934,0.00112239,0.00112239,0.00112239
35,558.774,1.19223,4.91914,1.18465,0.67247,0.72121,0.69787,0.40828,1.17579,4.46989,1.19777,0.00110589,0.00110589,0.00110589
36,574.572,1.18206,4.73294,1.1713,0.77806,0.69579,0.71846,0.40073,1.19244,4.72307,1.19921,0.00108938,0.00108938,0.00108938
37,590.311,1.16009,4.77645,1.16487,0.77276,0.74036,0.73445,0.40277,1.24859,4.74766,1.23172,0.00107288,0.00107288,0.00107288
38,606.048,1.15224,4.76842,1.15415,0.77851,0.73131,0.72841,0.40692,1.24116,4.72574,1.22729,0.00105638,0.00105638,0.00105638
39,621.5,1.16777,4.78134,1.16689,0.90253,0.70169,0.74299,0.40344,1.23581,4.68067,1.22615,0.00103987,0.00103987,0.00103987
40,636.925,1.16737,4.72864,1.15888,0.86698,0.73045,0.75743,0.42798,1.2199,4.46231,1.22574,0.00102337,0.00102337,0.00102337
41,652.396,1.14623,4.52658,1.14597,0.81561,0.74949,0.77803,0.43156,1.1974,4.579,1.2082,0.00100687,0.00100687,0.00100687
42,667.91,1.12914,4.4409,1.12226,0.81977,0.76956,0.76987,0.42733,1.19872,4.52639,1.21506,0.000990365,0.000990365,0.000990365
43,683.363,1.15646,4.54181,1.16015,0.90646,0.68586,0.77266,0.44198,1.17981,4.39474,1.20504,0.000973861,0.000973861,0.000973861
44,698.836,1.15907,4.56476,1.14748,0.80305,0.70622,0.77821,0.41511,1.20567,4.89086,1.19683,0.000957358,0.000957358,0.000957358
45,714.27,1.12658,4.49474,1.14158,0.90588,0.73515,0.78884,0.42448,1.17577,4.29093,1.19072,0.000940855,0.000940855,0.000940855
46,729.807,1.13938,4.49057,1.14376,0.89462,0.76263,0.78557,0.4481,1.18043,4.33357,1.1871,0.000924352,0.000924352,0.000924352
47,745.283,1.10263,4.39838,1.09737,0.83665,0.76364,0.79497,0.46445,1.1513,4.22365,1.19911,0.000907848,0.000907848,0.000907848
48,761.774,1.12412,4.33665,1.11038,0.81581,0.76061,0.788,0.45662,1.16289,4.35525,1.18531,0.000891345,0.000891345,0.000891345
49,777.254,1.12656,4.40162,1.14617,0.81378,0.76465,0.76325,0.44844,1.15322,4.15975,1.1794,0.000874842,0.000874842,0.000874842
50,792.88,1.10906,4.30765,1.12528,0.80078,0.74844,0.78267,0.44444,1.15482,4.18121,1.18494,0.000858338,0.000858338,0.000858338
51,808.719,1.08292,4.22581,1.11776,0.80165,0.76465,0.75784,0.43099,1.17172,4.3178,1.20511,0.000841835,0.000841835,0.000841835
52,824.617,1.09821,4.26624,1.11667,0.82427,0.74949,0.76998,0.43107,1.14747,4.20905,1.18494,0.000825332,0.000825332,0.000825332
53,840.288,1.06949,4.17641,1.10413,0.78401,0.73333,0.7447,0.42434,1.1567,4.27581,1.1787,0.000808828,0.000808828,0.000808828
54,855.915,1.10349,4.27504,1.10244,0.79283,0.73411,0.75294,0.42644,1.14518,4.24566,1.17564,0.000792325,0.000792325,0.000792325
55,871.425,1.07576,4.18369,1.09867,0.82336,0.76162,0.75808,0.43976,1.13129,4.16033,1.17205,0.000775822,0.000775822,0.000775822
56,887.026,1.08541,4.1983,1.14515,0.83597,0.72121,0.7365,0.41889,1.13445,4.16768,1.18822,0.000759318,0.000759318,0.000759318
57,902.651,1.09518,4.12703,1.11496,0.77332,0.73098,0.72714,0.42752,1.12727,4.11849,1.17573,0.000742815,0.000742815,0.000742815
58,918.26,1.04819,3.98925,1.08448,0.87976,0.74747,0.77882,0.43567,1.13184,4.03123,1.17146,0.000726312,0.000726312,0.000726312
59,934.323,1.06776,4.01256,1.08687,0.84637,0.76465,0.7842,0.45515,1.11087,3.99576,1.15925,0.000709809,0.000709809,0.000709809
60,950.272,1.06144,4.06932,1.1049,0.81446,0.75051,0.79671,0.46344,1.13619,4.06085,1.16047,0.000693305,0.000693305,0.000693305
61,965.742,1.06588,4.1168,1.09424,0.84724,0.78384,0.83237,0.46116,1.16461,4.22342,1.18314,0.000676802,0.000676802,0.000676802
62,981.315,1.05452,3.97689,1.08523,0.78766,0.81111,0.79381,0.45119,1.15392,4.01859,1.18759,0.000660299,0.000660299,0.000660299
63,996.784,1.04272,3.97257,1.07083,0.8103,0.76667,0.79126,0.45282,1.12105,4.03464,1.17151,0.000643795,0.000643795,0.000643795
64,1012.27,1.01714,3.88369,1.07632,0.82107,0.78683,0.79339,0.43401,1.141,4.04211,1.18277,0.000627292,0.000627292,0.000627292
65,1027.94,1.02583,3.92455,1.06782,0.81232,0.79495,0.78781,0.44682,1.11537,3.95919,1.15991,0.000610789,0.000610789,0.000610789
66,1043.99,1.0213,3.96817,1.08232,0.81977,0.72121,0.76438,0.45782,1.11753,3.95729,1.15951,0.000594286,0.000594286,0.000594286
67,1059.75,1.04665,3.91722,1.08797,0.85468,0.72889,0.77088,0.45569,1.1295,4.03388,1.17593,0.000577782,0.000577782,0.000577782
68,1075.55,1.04299,3.92949,1.08175,0.79247,0.73434,0.76576,0.45059,1.12835,3.97766,1.1753,0.000561279,0.000561279,0.000561279
69,1091.6,1.03045,3.88111,1.08306,0.85763,0.74473,0.77406,0.44877,1.12103,4.08947,1.16688,0.000544776,0.000544776,0.000544776
70,1107.42,1.01005,3.8524,1.06381,0.91581,0.75051,0.79636,0.46072,1.10519,3.90476,1.15692,0.000528272,0.000528272,0.000528272
71,1123.27,1.01878,3.81158,1.08653,0.91855,0.76174,0.80767,0.47032,1.10504,3.86186,1.15443,0.000511769,0.000511769,0.000511769
72,1139.11,0.9986,3.7479,1.07314,0.93929,0.78097,0.81491,0.46515,1.10365,3.83514,1.15396,0.000495266,0.000495266,0.000495266
73,1154.87,1.00934,3.78737,1.06854,0.83379,0.75234,0.7811,0.46645,1.0989,3.91007,1.15494,0.000478762,0.000478762,0.000478762
74,1170.65,1.01417,3.78911,1.04786,0.83407,0.77492,0.79599,0.45991,1.09961,3.84051,1.15229,0.000462259,0.000462259,0.000462259
75,1186.38,0.99761,3.75878,1.08744,0.83506,0.76566,0.78155,0.46094,1.09975,3.81213,1.14965,0.000445756,0.000445756,0.000445756
76,1202.12,0.98375,3.70068,1.05491,0.92607,0.76173,0.79735,0.47486,1.09393,3.83946,1.15907,0.000429253,0.000429253,0.000429253
77,1217.88,0.98041,3.67848,1.06402,0.90752,0.75389,0.80667,0.46327,1.08487,3.74134,1.15738,0.000412749,0.000412749,0.000412749
78,1233.73,0.99824,3.77504,1.08944,0.92498,0.7623,0.8097,0.47562,1.0942,3.76687,1.15479,0.000396246,0.000396246,0.000396246
79,1249.61,0.96854,3.68477,1.05465,0.92489,0.78066,0.81481,0.4728,1.08482,3.72349,1.1467,0.000379743,0.000379743,0.000379743
80,1265.53,0.96474,3.61697,1.07374,0.92309,0.76566,0.80159,0.47713,1.09108,3.76264,1.15364,0.000363239,0.000363239,0.000363239
81,1281.36,0.98268,3.64454,1.06519,0.93667,0.7596,0.80281,0.49164,1.0909,3.78811,1.14813,0.000346736,0.000346736,0.000346736
