frame,cam_id,class_id,object_id,u,v,w,h
3,cam_2,0,127,1117.9741,1261.3079,153.9685,253.66846
3,cam_2,0,128,604.11975,1171.6344,135.84973,225.61426
3,cam_2,0,129,992.3696,1025.0256,119.9353,164.15717
3,cam_2,0,130,650.4297,1011.21466,88.96283,177.56604
3,cam_2,0,131,398.97574,1156.924,161.10004,234.89746
3,cam_2,0,132,1527.2139,1406.2941,216.64563,305.02905
3,cam_2,0,133,2264.6987,900.09894,54.077393,152.1709
3,cam_2,0,134,381.02448,965.97723,121.80557,185.46497
3,cam_2,0,135,2357.4072,917.0121,58.7063,105.61041
3,cam_2,0,136,1330.1459,894.2896,66.15674,102.91235
4,cam_2,0,127,1150.0566,1258.1199,133.7229,246.53052
4,cam_2,0,128,628.4617,1169.2231,127.14459,231.81775
4,cam_2,0,129,1004.7959,1026.2395,110.56793,159.23364
4,cam_2,0,130,646.79675,1010.78577,92.73004,175.91406
4,cam_2,0,131,392.4678,1163.9849,177.55365,239.48047
4,cam_2,0,132,1531.3789,1409.637,203.06018,296.2738
4,cam_2,0,133,2263.9055,900.06903,53.990234,152.92297
4,cam_2,0,134,381.34137,965.6342,119.23599,183.71228
4,cam_2,0,135,2357.0898,916.9603,57.88794,105.6413
4,cam_2,0,136,1329.1362,894.05176,65.837524,102.8916
4,cam_2,0,137,1324.9885,1057.3207,74.745605,178.72144
4,cam_2,0,138,1717.1711,1075.9967,60.951782,202.94366
4,cam_2,0,139,284.97092,1109.655,161.5652,205.62036
5,cam_2,0,127,1172.435,1257.0591,123.74036,246.90479
5,cam_2,0,128,639.2888,1163.5359,138.6864,241.71631
5,cam_2,0,129,1023.51575,1025.8655,97.43628,158.83142
5,cam_2,0,131,389.4463,1166.4329,180.07181,240.2052
5,cam_2,0,132,1533.5107,1410.3013,203.07861,294.57324
5,cam_2,0,133,2263.8342,900.5365,53.26367,152.07709
5,cam_2,0,134,383.5182,965.53033,116.380005,182.66882
5,cam_2,0,135,2356.9282,917.0287,57.263916,105.534546
5,cam_2,0,136,1328.8247,894.266,65.86609,102.51642
5,cam_2,0,137,1329.3376,1059.0969,76.23523,174.54163
5,cam_2,0,138,1732.8259,1075.5414,81.53577,200.8894
5,cam_2,0,139,250.59375,1107.7583,185.45674,204.39874
5,cam_2,0,140,844.46155,1177.269,134.07556,233.29944
6,cam_2,0,127,1192.4597,1254.4558,114.405396,251.94812
6,cam_2,0,128,646.05054,1161.3115,139.48792,240.57532
6,cam_2,0,129,1036.1372,1024.6152,90.47308,161.77332
6,cam_2,0,131,392.64853,1166.5978,176.02228,236.52173
6,cam_2,0,132,1538.6521,1411.8445,208.08704,294.12158
6,cam_2,0,133,2263.6714,900.3739,52.90503,152.05768
6,cam_2,0,134,384.32687,966.6797,114.86499,177.56152
6,cam_2,0,135,2356.707,916.8775,57.259033,105.616455
6,cam_2,0,136,1328.8274,894.58826,64.70203,101.67377
6,cam_2,0,137,1329.7635,1058.2697,75.359375,175.25153
6,cam_2,0,138,1741.9314,1076.547,94.4657,198.93207
6,cam_2,0,139,197.77545,1111.0146,153.56068,206.62659
6,cam_2,0,140,844.3345,1175.895,136.89801,238.59888
6,cam_2,0,130,632.66504,1002.9608,82.80682,158.94684
7,cam_2,0,127,1201.6104,1251.3168,117.818726,257.01514
7,cam_2,0,128,657.3866,1158.7251,143.96588,244.0885
7,cam_2,0,129,1048.373,1026.5659,87.61548,168.71716
7,cam_2,0,131,380.63098,1167.4639,202.18658,237.96875
7,cam_2,0,132,1544.2964,1413.0221,211.62878,294.09692
7,cam_2,0,133,2263.3955,899.9868,53.43921,152.99908
7,cam_2,0,134,384.65796,962.326,111.727264,183.04602
7,cam_2,0,135,2356.7007,916.86194,57.20581,105.59216
7,cam_2,0,136,1328.2875,894.6606,63.340332,101.83118
7,cam_2,0,137,1328.4467,1056.1841,75.79834,177.27362
7,cam_2,0,138,1747.2516,1076.5273,99.04175,195.23224
7,cam_2,0,139,173.85254,1117.8635,132.64906,211.84882
7,cam_2,0,140,842.70026,1175.8076,137.87793,239.63806
7,cam_2,0,130,632.3734,1002.8972,77.15393,159.36523
8,cam_2,0,127,1206.9973,1247.0518,121.81128,263.886
8,cam_2,0,128,676.03125,1159.1333,155.24976,239.06201
8,cam_2,0,129,1056.4481,1028.4805,86.343994,169.13184
8,cam_2,0,131,400.7231,1168.25,154.13837,235.13354
8,cam_2,0,132,1552.5625,1413.6006,198.34802,296.80896
8,cam_2,0,133,2263.531,899.3353,52.84131,153.71417
8,cam_2,0,134,386.33142,963.4923,107.88843,181.3006
8,cam_2,0,135,2356.8926,916.79395,56.565674,105.48511
8,cam_2,0,136,1328.4806,894.5962,63.74341,102.315735
8,cam_2,0,137,1327.1001,1055.5345,79.63635,178.1914
8,cam_2,0,138,1751.7981,1077.3164,106.97046,194.56732
8,cam_2,0,139,178.36581,1121.0125,170.6084,215.43988
8,cam_2,0,140,845.0226,1175.1364,130.88977,237.99072
8,cam_2,0,130,633.9601,1002.4042,79.2406,163.18512
9,cam_2,0,127,1221.8639,1244.8115,136.48193,266.6034
9,cam_2,0,128,688.6568,1160.7537,142.29529,235.10754
9,cam_2,0,129,1067.895,1029.513,84.60974,173.47253
