frame,object_id,X,Y,Z,n_views,cameras
3,0.0,4.998723013539066,4.4345876120169985,0.8736991197893955,3,out2+out4+out13
3,5.0,15.03190399823037,-2.7960834987695264,0.9886153112699377,2,out4+out13
3,1.0,8.481077520887938,-1.8848694170265299,0.8010406994297706,2,out4+out13
3,2.0,11.935751903287183,-2.1208633102821026,0.7953178521743961,2,out4+out13
3,3.0,11.266258368371066,2.584343771122965,0.935671992425062,2,out4+out13
4,6.0,1.1894770605143514,-0.16697775789389166,0.887698779420892,2,out2+out13
4,0.0,4.870880381655192,4.390311884847718,0.8652129681595322,3,out2+out4+out13
4,5.0,15.02575910031161,-2.8150520703891124,0.9944248219575008,2,out4+out13
4,1.0,8.328086528774158,-1.8593313869937382,0.8287923005640181,2,out4+out13
4,2.0,12.032026708239306,-2.1606275197876808,0.7562198587250584,2,out4+out13
4,3.0,11.23831127276761,2.6621749952545186,0.919091237920236,2,out4+out13
5,6.0,1.0533324131326915,-0.20457143647503273,0.9038685474819852,2,out2+out13
5,0.0,4.758381974443561,4.350921936636743,0.865250918113814,3,out2+out4+out13
5,5.0,15.01041380048546,-2.824281001195628,0.9931542755961817,2,out4+out13
5,1.0,8.137897650619616,-1.8004765506226594,0.829525741865901,2,out4+out13
5,3.0,11.217110999010183,2.7023271888300093,0.9213958318488399,2,out4+out13
5,8.0,7.770714000592653,2.7404369937635544,0.8998277715839552,2,out4+out13
6,6.0,0.9720289622809478,-0.2121118935482141,0.901238259697549,2,out2+out13
6,0.0,4.662134215297502,4.312636621299168,0.8688399711494917,3,out2+out4+out13
6,5.0,14.990110627410486,-2.829506000958714,0.9887199721412743,2,out4+out13
6,1.0,8.010309164039949,-1.7748284625262813,0.8419659951920586,2,out4+out13
6,2.0,12.228324703841402,-2.279901156534604,0.8000208325448074,2,out4+out13
6,3.0,11.164956662546945,2.739492060350641,0.9346701008976892,2,out4+out13
6,8.0,7.77368059614292,2.7192898907733545,0.9103964505613193,2,out4+out13
7,6.0,0.9219766156211764,-0.21209510764031525,0.8994902468030248,2,out2+out13
7,0.0,4.571293997427105,4.267549076615828,0.8854778546662287,3,out2+out4+out13
7,5.0,15.019739047097836,-2.888647655101329,1.0179883035609532,2,out4+out13
7,1.0,7.879380390705822,-1.7395884101779246,0.8346919180114233,2,out4+out13
7,2.0,12.2384770614799,-2.2846653823381575,0.795644236065266,2,out4+out13
7,3.0,11.181051974404038,2.7556654877020255,0.9598965369530442,2,out4+out13
7,8.0,7.778815691888544,2.7115187071920404,0.919045841863479,2,out4+out13
8,22.0,1.7673624726531643,6.845311249428112,0.8887213347502736,2,out2+out4
8,6.0,0.8761152699843687,-0.19979122362151336,0.8859180072898089,2,out2+out13
8,0.0,4.513337779296256,4.240018171371745,0.8945878940526545,3,out2+out4+out13
8,5.0,14.996325469496615,-2.897225413161743,1.0112802516319592,2,out4+out13
8,1.0,7.781806424554241,-1.712379757784551,0.8396038269308156,2,out4+out13
8,2.0,12.232124051067848,-2.2765563090702154,0.7910930319291111,2,out4+out13
8,3.0,11.065287321120415,2.8554753023207495,0.9458832267004075,2,out4+out13
8,8.0,7.755016010552542,2.7293192941061566,0.927641813266447,2,out4+out13
9,22.0,1.7203921121736117,6.839510218263514,0.8923709911468949,2,out2+out4
9,6.0,0.8407168788993722,-0.1672112748586065,0.8691673033185002,2,out2+out13
9,0.0,4.436706065314973,4.2148060508161596,0.9011825101023174,3,out2+out4+out13
9,5.0,14.979643547622999,-2.9116171030349096,1.0090553018362343,2,out4+out13
9,1.0,7.662180364938038,-1.667187861504222,0.8329119664998181,2,out4+out13
9,9.0,9.788771319195712,-1.1602338760447992,0.9872325019048113,2,out4+out13
9,2.0,12.238692796992337,-2.264120786678306,0.7948416419569612,2,out4+out13
9,3.0,11.02092917553668,2.9203575798665256,0.9465490327086213,2,out4+out13
9,8.0,7.713768703209979,2.7707424759035617,0.9401330824884173,2,out4+out13
10,22.0,1.6376755643925065,6.821384619864849,0.9000240124323424,2,out2+out4
10,6.0,0.8006543405955368,-0.1503673947518333,0.8601411353916634,2,out2+out13
10,0.0,4.341814246848193,4.169731958193617,0.9033408787993801,3,out2+out4+out13
10,5.0,14.966308785477619,-2.9294846145182514,1.0068300292454133,2,out4+out13
10,1.0,7.548745533990137,-1.6264559388901254,0.8504848949805861,2,out4+out13
10,9.0,9.767191898584578,-1.1777971185733564,0.9675244442750982,2,out4+out13
10,2.0,12.220458079421643,-2.2403667066427095,0.7921549299480983,2,out4+out13
10,3.0,10.990423585844676,2.9877254192354057,0.9446214609834679,2,out4+out13
10,8.0,7.6391558476197305,2.830468845346088,0.9535394109507312,2,out4+out13
11,22.0,1.5487494300976212,6.810695297904697,0.9165771633034919,2,out2+out4
11,6.0,0.7468542948854953,-0.16258525049745953,0.8586972894068848,2,out2+out13
11,0.0,4.252055206789627,4.126026109754288,0.9146762629881894,3,out2+out4+out13
11,5.0,14.964379216579491,-2.9574895300330284,1.012918732106778,2,out4+out13
11,1.0,7.438202368338643,-1.586462864266592,0.8696141719719,2,out4+out13
11,9.0,9.746257924995403,-1.2217444296952973,0.9690887159134944,2,out4+out13
11,2.0,12.227818334377575,-2.24348959155707,0.7967157423021993,2,out4+out13
11,3.0,10.961329572064722,3.048839368479871,0.9400556322543328,2,out4+out13
11,8.0,7.577481035779614,2.8821088302448326,0.9733856826899103,2,out4+out13
12,22.0,1.4706194328440392,6.80140615887789,0.9342882547654591,2,out2+out4
12,6.0,0.7336694381939043,-0.16253145170090916,0.8550349400540508,2,out2+out13
12,0.0,4.217448150937768,4.118093782757686,0.917302000089954,3,out2+out4+out13
12,5.0,14.950406029649228,-2.9752329618580178,1.0134675237354513,2,out4+out13
12,1.0,7.319974646745086,-1.5457970349607102,0.8756352261986812,2,out4+out13
12,9.0,9.737629953166941,-1.2719471870802634,0.9540198476742426,2,out4+out13
12,2.0,12.261721318170165,-2.272467796680214,0.8069153430664832,2,out4+out13
12,3.0,10.939564073002924,3.087744756974871,0.9392489256379841,2,out4+out13
12,8.0,7.46271167387835,2.9796798668769484,0.9754198122732687,2,out4+out13
13,22.0,1.3729194036228236,6.801294860768047,0.9506386595052775,2,out2+out4
13,6.0,0.7033137241017409,-0.17160275867554228,0.8583757616526233,2,out2+out13
13,0.0,4.157584772608573,4.069856939571651,0.9104265829451587,3,out2+out4+out13
13,5.0,14.936442064899026,-2.98675047120629,1.0169863154822094,2,out4+out13
13,1.0,7.183838201495296,-1.4943100352707606,0.8825190621999283,2,out4+out13
13,9.0,9.712741926596934,-1.294933780224827,0.9404725732440645,2,out4+out13
13,2.0,12.28806019980691,-2.2970700264041755,0.8088683722270235,2,out4+out13
13,3.0,10.908172341920245,3.1290447552228122,0.9282309941839165,2,out4+out13
13,8.0,7.394163175957081,2.9948815053597064,0.9758541347506915,2,out4+out13
14,22.0,1.3207126222124388,6.805109465798552,0.9604447979632053,2,out2+out4
14,6.0,0.6477383957546176,-0.19190681681936164,0.8663144137070203,2,out2+out13
14,0.0,4.068968443185501,4.008213951967952,0.8960136206222109,3,out2+out4+out13
14,5.0,14.881816686635307,-2.94551895279205,0.9854926827120649,2,out4+out13
14,1.0,7.074368735216624,-1.4672317954961605,0.8884613884380269,2,out4+out13
14,9.0,9.693191554991092,-1.3232002893099206,0.9313639153506406,2,out4+out13
14,2.0,12.289687966944316,-2.3011681752993063,0.7992014051567702,2,out4+out13
14,3.0,10.870365797964208,3.174922277836851,0.9138558336791134,2,out4+out13
14,8.0,7.335405983547114,3.011526221572741,0.9601818955563098,2,out4+out13
15,22.0,1.2816533082563175,6.835337065566692,0.9579790813193299,2,out2+out4
15,6.0,0.5844486958528105,-0.19652915549015368,0.8834101129489677,2,out2+out13
15,0.0,3.9599194736881014,3.96231246019467,0.8863055714509234,3,out2+out4+out13
15,5.0,14.872242923472028,-2.945856847096782,0.9836161462949959,2,out4+out13
15,1.0,6.950174657243806,-1.4268668691340345,0.8796711499379312,2,out4+out13
15,9.0,9.687739016172161,-1.3562700998888455,0.9327250508761609,2,out4+out13
15,2.0,12.306896206827965,-2.3118039184398245,0.7995703578649686,2,out4+out13
15,3.0,10.824355151873304,3.2331100338983627,0.8919970006772442,2,out4+out13
15,8.0,7.284858917866887,3.0324853054294167,0.9300387143468782,2,out4+out13
16,22.0,1.193646451743195,6.883906198913802,0.9464821809877968,2,out2+out4
16,6.0,0.5114137189241623,-0.20183054490738833,0.8989042453061161,2,out2+out13
16,0.0,3.866981513099351,3.896665025782317,0.8863695719928567,3,out2+out4+out13
16,5.0,14.871233700777749,-2.9482652160045153,0.9872177373486267,2,out4+out13
16,1.0,6.805421004909548,-1.3631705598014927,0.8730280436271974,2,out4+out13
16,9.0,9.675873681883537,-1.4123962726263863,0.9333908182404811,2,out4+out13
16,2.0,12.318161982227021,-2.312286499790658,0.8026260326197809,2,out4+out13
16,3.0,10.771048217702697,3.2881938703392763,0.8804734495854823,2,out4+out13
16,8.0,7.261971772062172,3.0273604377467356,0.9113625808244545,2,out4+out13
17,22.0,1.0983702631181806,6.93538316940326,0.9348852053352512,2,out2+out4
17,6.0,0.43781873877396377,-0.20910602090423935,0.9128769973660836,2,out2+out13
17,0.0,3.7700581161847175,3.8591908683324676,0.8948511584819145,3,out2+out4+out13
17,5.0,14.877427402066965,-2.9497665866151075,0.9935742001618342,2,out4+out13
17,1.0,6.697151320498531,-1.3026774776661023,0.8818867807012191,2,out4+out13
17,9.0,9.737877720544516,-1.5555117966486698,0.9862496667408774,2,out4+out13
17,2.0,12.303687497964477,-2.307940813717093,0.800623092053837,2,out4+out13
17,3.0,10.744934383293163,3.313518671292468,0.8701785621969725,2,out4+out13
18,22.0,1.0137898155987493,6.963261244323398,0.9191665703803805,2,out2+out4
18,6.0,0.3738604448684089,-0.19212236869709762,0.918874810399323,2,out2+out13
18,0.0,3.657003177379071,3.8261438281797027,0.8969803858124044,3,out2+out4+out13
18,5.0,14.886947491202042,-2.9583189319564074,1.0033943302925,2,out4+out13
18,1.0,6.558515194516045,-1.246784928785133,0.8758804331995416,2,out4+out13
