frame,category,object_id,error_m
5,Red_2,8,0.1620900536807348
5,Red_23,3,0.20750608314858415
5,Refree_2,5,0.09385717533484357
5,White_14,0,0.1394993693727738
5,White_16,1,0.22458723232818031
5,White_27,6,0.14294907268405116
10,Red_2,8,0.26938974241110164
10,Red_23,3,0.14427827042666155
10,Red_7,2,0.02969222075178175
10,Red_9,9,0.11321531425192424
10,Refree_1,22,0.23623552891935298
10,Refree_2,5,0.12758210652493587
10,White_14,0,0.13320023421334837
10,White_16,1,0.298283010969129
10,White_27,6,0.1326784136815534
15,Red_23,3,1.6786073241022785
15,Red_7,2,0.03609850486025146
15,Red_9,9,0.24393576502678424
15,Refree_1,22,0.22253546263776694
15,Refree_2,5,0.11270180705770994
15,White_14,0,0.2671510332690187
15,White_16,1,0.21079906217532565
15,White_27,6,0.1330869208496844
15,White_34,8,0.8108794069447385
20,Red_23,3,0.34008907518386294
20,Red_7,2,0.0982037172136227
20,Red_9,9,0.208362535145447
20,Refree_1,22,0.09650869982267768
20,Refree_2,5,0.1646914984594312
20,White_14,0,0.21826873150655826
20,White_16,1,0.24290664504355056
20,White_27,6,0.1716114896979478
25,Red_2,8,0.35553933859265757
25,Red_23,3,0.3325132172470944
25,Red_7,2,0.09982513736241727
25,Red_9,9,0.1193050750650526
25,Refree_1,22,0.20196250195467833
25,Refree_2,5,0.10761221511515627
25,White_14,0,0.20509151982634438
25,White_16,1,0.33691937257817767
25,White_27,6,0.0791382024179898
30,Red_2,8,0.12820287569100575
30,Red_23,3,0.2454050921611453
30,Red_7,2,0.19161606144663476
30,Red_9,9,0.14293069041318784
30,Refree_1,22,0.15668398715024193
30,Refree_2,5,0.1092805170506067
30,White_14,0,0.15629745244191925
30,White_16,1,0.2720496016921063
30,White_27,6,0.09749704465558744
35,Red_11,7,0.12341125334577803
35,Red_2,8,0.1326454204706044
35,Red_23,3,0.1694225423968875
35,Red_7,2,0.19746983458163342
35,Red_9,9,0.2270718758486344
35,Refree_1,22,0.151107028638471
35,Refree_2,5,0.1457704205736258
35,White_14,0,0.18182547095467808
35,White_16,1,0.26288246452664205
35,White_27,6,0.15945788986023082
40,Red_11,7,0.2448259197649492
40,Red_2,8,0.08478267948570507
40,Red_23,3,0.11270059199399486
40,Red_7,2,0.03770127587436325
40,Red_9,9,0.18295085568170236
40,Refree_1,22,0.19535691478954895
40,Refree_2,5,0.12249339111166664
40,White_14,0,0.2437545369801663
40,White_16,1,0.3228030460999032
40,White_27,6,0.07618588707981856
45,Red_11,7,0.2802420270021886
45,Red_2,8,0.13496796500859148
45,Red_23,3,0.14710858946568794
45,Red_7,2,0.17064416798533805
45,Red_9,9,0.08028450472129278
