camera,K00,K01,K02,K10,K11,K12,K20,K21,K22,R00,R01,R02,R10,R11,R12,R20,R21,R22,t0,t1,t2,C0,C1,C2,k1,k2,p1,p2,P00,P01,P02,P03,P10,P11,P12,P13,P20,P21,P22,P23,rms
out2,5776.509468863076,49.711860287401606,1960.3874179261131,0.0,5714.63909862885,1146.2047508063101,0.0,0.0,1.0,-0.6759543458032853,0.7366275574811051,0.02157693094657942,0.24679650066630884,0.2538629492006862,-0.9352246202287416,-0.6943898110200905,-0.6268440352931107,-0.3533968672313496,7.306504735561109,-1.899323806893858,21.426478008977874,20.2859381132887,8.531055143291429,5.638103870040412,-7.532281150527457,62.72531111012798,-0.05074668091613054,0.053470849460901436,-5253.661014551158,3038.898900487249,-614.6471817910716,84115.87276880359,614.440031809746,732.2435239279089,-5749.536348900124,13705.180799105136,-0.6943898110200905,-0.6268440352931107,-0.3533968672313496,21.426478008977874,5.461142969711977
out4,5514.3127037762215,-63.71438694109388,1512.8777917739174,0.0,5416.142779738886,1196.8127449931874,0.0,0.0,1.0,-0.6488426220252295,-0.7552576407885266,0.09267765574276476,-0.3035741251771046,0.1452483173353163,-0.9416717457979797,0.697743507577377,-0.6391313028962111,-0.32351997665030013,-7.11760877829012,-2.510313642043167,21.650955146047988,-20.487087596062942,8.826793589984634,5.300268369568919,-6.6033656765798865,57.09814123925253,-0.05097582995096294,-0.03657762810843021,-2502.9784171401084,-5140.908764896682,81.60542453233958,-6333.5282007525,-809.1324835886683,21.765136174609093,-5487.421458202817,12315.921952833944,0.697743507577377,-0.6391313028962111,-0.32351997665030013,21.650955146047988,4.718446628052592
out13,1995.845685782818,43.43468553437529,1967.2779192348078,0.0,1992.235864297446,1221.7151702133874,0.0,0.0,1.0,0.9987342493902907,-0.04047617347492047,0.029859311372519855,0.013245428029179735,-0.361046178614902,-0.9324538677832271,0.04852275477687524,0.9316691130913403,-0.3600530599515282,-1.171873875033071,-0.38436401845089224,18.704879310738903,0.2678693689786122,-17.612964448232002,6.411338663138269,-0.2945891404685839,0.06642168487115345,-0.007461756245441117,0.0004917500490628058,2089.35249794336,1736.3859507792276,-689.2306973347547,34442.12190193014,85.6690023691551,418.94514337879315,-2297.5503226251462,22086.291028436895,0.04852275477687524,0.9316691130913403,-0.3600530599515282,18.704879310738903,1.6741311884983272
