frame,cam_id,class_id,object_id,u,v,w,h
1,cam_1,0,983,1446.0,615.4411764705883,212.0,480.44117647058823
1,cam_1,0,984,68.0,496.3235294117647,138.0,470.5147058823529
1,cam_1,0,986,2180.0,1072.0588235294117,268.0,651.1764705882354
1,cam_1,0,987,324.0,728.6029411764706,142.0,484.4117647058824
1,cam_1,0,988,1568.0,811.9852941176471,176.0,559.8529411764706
1,cam_1,0,989,572.0,1068.0882352941176,280.0,635.2941176470588
1,cam_1,0,990,1148.0,1425.4411764705883,186.0,744.4852941176471
1,cam_1,0,992,1952.0,968.8235294117648,250.0,585.6617647058823
2,cam_1,0,983,1432.0,607.5,212.0,474.4852941176471
2,cam_1,0,984,60.0,494.3382352941177,120.0,466.54411764705884
2,cam_1,0,986,2182.0,1072.0588235294117,258.0,645.2205882352941
2,cam_1,0,987,310.0,732.5735294117648,156.0,482.4264705882353
2,cam_1,0,988,1566.0,817.9411764705883,174.0,579.7058823529412
2,cam_1,0,989,536.0,1062.1323529411766,268.0,627.3529411764706
2,cam_1,0,990,1146.0,1447.2794117647059,190.0,730.5882352941177
2,cam_1,0,992,1924.0,954.9264705882354,286.0,559.8529411764706
2,cam_1,0,994,2228.0,1068.0882352941176,214.0,621.3970588235294
3,cam_1,0,983,1424.0,611.4705882352941,204.0,466.54411764705884
3,cam_1,0,984,56.0,492.3529411764706,114.0,468.5294117647059
3,cam_1,0,986,2180.0,1070.0735294117646,254.0,647.2058823529412
3,cam_1,0,987,290.0,732.5735294117648,182.0,478.4558823529412
3,cam_1,0,988,1562.0,815.9558823529412,174.0,579.7058823529412
3,cam_1,0,989,528.0,1042.2794117647059,262.0,611.4705882352941
3,cam_1,0,990,1152.0,1465.1470588235295,200.0,744.4852941176471
3,cam_1,0,992,1900.0,950.9558823529412,242.0,559.8529411764706
3,cam_1,0,994,2234.0,1072.0588235294117,218.0,627.3529411764706
3,cam_1,0,995,2338.0,1355.9558823529412,248.0,595.5882352941177
4,cam_1,0,983,1402.0,613.4558823529412,172.0,472.5
4,cam_1,0,984,54.0,486.39705882352945,110.0,466.54411764705884
4,cam_1,0,986,2176.0,1068.0882352941176,248.0,647.2058823529412
4,cam_1,0,987,272.0,736.5441176470589,196.0,458.6029411764706
4,cam_1,0,988,1540.0,819.9264705882354,198.0,597.5735294117648
4,cam_1,0,989,518.0,1032.3529411764707,246.0,603.5294117647059
4,cam_1,0,990,1156.0,1477.0588235294117,204.0,740.5147058823529
4,cam_1,0,992,1876.0,960.8823529411765,216.0,581.6911764705883
4,cam_1,0,994,2240.0,1072.0588235294117,218.0,641.25
4,cam_1,0,998,2466.0,1365.8823529411766,238.0,647.2058823529412
4,cam_1,0,999,1048.0,1076.0294117647059,260.0,665.0735294117648
5,cam_1,0,983,1376.0,609.4852941176471,164.0,474.4852941176471
5,cam_1,0,984,52.0,492.3529411764706,104.0,464.55882352941177
5,cam_1,0,986,2178.0,1066.1029411764707,244.0,647.2058823529412
5,cam_1,0,987,264.0,746.4705882352941,192.0,458.6029411764706
5,cam_1,0,988,1536.0,817.9411764705883,198.0,587.6470588235294
5,cam_1,0,989,504.0,1016.4705882352941,222.0,605.5147058823529
5,cam_1,0,990,1164.0,1485.0,210.0,740.5147058823529
5,cam_1,0,992,1852.0,960.8823529411765,216.0,613.4558823529412
5,cam_1,0,994,2242.0,1066.1029411764707,214.0,647.2058823529412
5,cam_1,0,998,2500.0,1367.8676470588236,264.0,684.9264705882354
5,cam_1,0,999,1038.0,1076.0294117647059,252.0,657.1323529411765
6,cam_1,0,983,1354.0,595.5882352941177,130.0,446.69117647058823
6,cam_1,0,984,46.0,494.3382352941177,92.0,456.61764705882354
6,cam_1,0,986,2186.0,1062.1323529411766,244.0,649.1911764705883
