frame,cam_id,class_id,object_id,u,v,w,h
2,cam_0,1,-1,3292.8198623657227,108.77166748046875,9.090957641601562,16.071136474609375
3,cam_0,1,-1,3290.257598876953,112.38162994384766,9.9324951171875,17.211044311523438
5,cam_0,1,-1,3279.969970703125,306.5221176147461,45.80126953125,163.8574981689453
5,cam_0,1,-1,3791.495361328125,176.31066131591797,66.20361328125,247.82154846191406
6,cam_0,1,-1,3277.198974609375,299.8433532714844,49.84814453125,169.0740966796875
7,cam_0,1,-1,3764.464599609375,607.2117919921875,42.73974609375,169.343505859375
9,cam_0,1,-1,3739.640625,240.52619171142578,115.4296875,397.70213317871094
9,cam_0,1,-1,3823.4501953125,196.30215644836426,33.099609375,344.089900970459
9,cam_0,1,-1,3784.5860595703125,423.05833435058594,58.390869140625,277.6092834472656
10,cam_0,1,-1,3733.547607421875,244.1582260131836,105.21533203125,405.9621124267578
10,cam_0,1,-1,3823.111328125,248.04052734375,33.77734375,268.3795166015625
11,cam_0,1,-1,3823.35205078125,250.95361328125,33.2958984375,256.5723876953125
12,cam_0,1,-1,3822.6251220703125,239.19447326660156,34.749755859375,285.2712707519531
12,cam_0,1,-1,3721.4208984375,205.16883850097656,81.9052734375,326.5568542480469
13,cam_0,1,-1,3821.9359130859375,235.3194351196289,36.128173828125,288.6163787841797
14,cam_0,1,-1,3818.8427734375,225.18768310546875,42.314453125,292.04638671875
15,cam_0,1,-1,3733.489013671875,493.0469970703125,101.162109375,424.2740478515625
15,cam_0,1,-1,3826.3798828125,241.05805206298828,26.68798828125,260.87644958496094
16,cam_0,1,-1,3826.3465576171875,238.87751007080078,27.306884765625,288.64817810058594
18,cam_0,1,-1,3807.762420654297,268.33244800567627,7.00555419921875,13.737043380737305
21,cam_0,1,-1,3794.083740234375,233.53345489501953,81.82177734375,313.13279724121094
24,cam_0,1,-1,3787.66259765625,140.0799560546875,100.56005859375,265.7059326171875
25,cam_0,1,-1,3784.733642578125,197.23236083984375,102.78271484375,394.4647216796875
27,cam_0,1,-1,3688.1946411132812,445.70311737060547,8.51629638671875,16.896926879882812
31,cam_0,1,-1,3277.4776916503906,182.3838882446289,8.37432861328125,15.921585083007812
