epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.101,1.21005,6.10962,1.06884,0.76549,0.65399,0.61358,0.35381,1.16447,10.3291,1.15276,0.000554398,0.000554398,0.000554398
2,243.975,1.20325,5.84058,1.0779,0.75779,0.68445,0.64907,0.37242,1.12909,8.54677,1.13696,0.00110274,0.00110274,0.00110274
3,356.903,1.22434,5.86832,1.09512,0.74999,0.64381,0.61633,0.34565,1.17551,9.19795,1.17513,0.00164374,0.00164374,0.00164374
